"","X","X.TX.","X.KS.","X.NY.","c..PA....PA..","X.FL.","X.MI.","X.FL..1","X.FL..2","X.IL.","X.NY..1","X.NV.","X.KY.","X.CA.","X.KS..1","X.TX..1","X.KS..2","X.KS..3","X.KS..4","X.PA.","X.NY..2","X.CA..1","X.SD.","X.OK.","X.KS..5","X.KS..6","X.MN.","X.CA..2","X.MI..1","X.ID.","X.MD.","X.NJ.","X.KS..7","X.MN..1","X.NJ..1","X.AZ.","X.DC.","X.NC.","X.MO.","X.MD..1","X.KS..8","X.PA..1","X.KS..9","X.NC..1","X.CA..3","X.MA.","X.DC..1","X.DC..2","X.KY..1","X.KS..10","X.CO.","X.CA..4","X.CA..5","X.DC..3","X.GA.","X.KS..11","X.NE.","c..LA....LA..","X.TX..2","X.FL..3","X.KY..2","X.AL.","X.NY..3","X.IN.","X.GA..1","X.GA..2","X.NY..4","X.NC..2","X.CA..6","X.FL..4","X.AZ..1","X.DC..4","X.MN..2","X.MI..2","X.AZ..2","X.ME.","X.FL..5","X.NY..5","X.SC.","X.FL..6","X.GA..3","X.AZ..3","X.AK.","X.TX..3","X.KS..12","X.OK..1","X.CA..7","X.NV..1","X.NY..6","X.AZ..4","X.NC..3","X.MO..1","c..GA....GA..","X.DC..5","X.CA..8","X.WA.","X.DC..6","X.VA.","X.FL..7","X.IN..1","X.PA..2","X.CO..1","X.TX..4","X.NY..7","X.MA..1","X.NC..4","X.NY..8","X.ID..1","X.VA..1","c..GA....GA...1","X.WA..1","X.MA..2","X.CO..2","X.MN..3","X.TX..5","X.OH.","X.FL..8","X.OK..2","X.VA..2","X.CA..9","X.VA..3","X.WA..2","X.MA..3","X.DC..7","X.NJ..2","X.DC..8","X.DC..9","X.CA..10","X.CA..11","X.CA..12","X.NY..9","X.PA..3","X.MA..4","X.CA..13","X.MA..5","X.VA..4","X.CA..14","X.CA..15","X.KS..13","X.CA..16","X.FL..9","X.NJ..3","X.GA..4","X.NY..10","X.CA..17","X.NC..5","X.NY..11","X.KS..14","X.WA..3","X.DC..10","X.GA..5","X.GA..6","c..CA....CA..","X.AZ..5","X.MN..4","X.WI.","X.VA..5","X.NC..6","X.CO..3","X.WI..1","X.IL..1","X.CT.","X.CA..18","X.MT.","X.PA..4","X.AL..1","X.MN..5","X.DC..11","X.NC..7","X.NY..12","X.IN..2","X.WA..4","X.IN..3","X.DE.","X.IL..2","c..NH....NH..","c..PA....PA...1","X.TX..6","c..NE....FL..","X.WV.","X.MD..2","X.NY..13","X.IN..4","X.MA..6","X.OK..3","X.MA..7","X.WI..2","X.CA..19","X.MD..3","X.MD..4","X.KS..15","X.PA..5","X.FL..10","X.OH..1","X.FL..11","X.NV..2","NA_character_.","X.WI..3","X.MS.","X.KS..16","X.OH..2","X.CA..20","X.NJ..4","X.CO..4","X.KS..17","X.FL..12","X.DC..12","X.FL..13","X.UT.","X.NC..8","X.NM.","NA_character_..1","X.MA..8","X.MI..3","X.GA..7","X.FL..14","X.GA..8","X.IL..3","X.WA..5","X.NM..1","X.DC..13","X.WI..4","X.CA..21","X.KS..18","X.ME..1"
"1",1,"TX","KS","NY","PA","FL","MI","FL","FL","IL","NY","NV","KY","CA","KS","TX","KS","KS","KS","PA","NY","CA","SD","OK","KS","KS","MN","CA","MI","ID","MD","NJ","KS","MN","NJ","AZ","DC","NC","MO","MD","KS","PA","KS","NC","CA","MA","DC","DC","KY","KS","CO","CA","CA","DC","GA","KS","NE","LA","TX","FL","KY","AL","NY","IN","GA","GA","NY","NC","CA","FL","AZ","DC","MN","MI","AZ","ME","FL","NY","SC","FL","GA","AZ","AK","TX","KS","OK","CA","NV","NY","AZ","NC","MO","GA","DC","CA","WA","DC","VA","FL","IN","PA","CO","TX","NY","MA","NC","NY","ID","VA","GA","WA","MA","CO","MN","TX","OH","FL","OK","VA","CA","VA","WA","MA","DC","NJ","DC","DC","CA","CA","CA","NY","PA","MA","CA","MA","VA","CA","CA","KS","CA","FL","NJ","GA","NY","CA","NC","NY","KS","WA","DC","GA","GA","CA","AZ","MN","WI","VA","NC","CO","WI","IL","CT","CA","MT","PA","AL","MN","DC","NC","NY","IN","WA","IN","DE","IL","NH","PA","TX","NE","WV","MD","NY","IN","MA","OK","MA","WI","CA","MD","MD","KS","PA","FL","OH","FL","NV",NA,"WI","MS","KS","OH","CA","NJ","CO","KS","FL","DC","FL","UT","NC","NM",NA,"MA","MI","GA","FL","GA","IL","WA","NM","DC","WI","CA","KS","ME"
"2",2,"TX","KS","NY","PA","FL","MI","FL","FL","IL","NY","NV","KY","CA","KS","TX","KS","KS","KS","PA","NY","CA","SD","OK","KS","KS","MN","CA","MI","ID","MD","NJ","KS","MN","NJ","AZ","DC","NC","MO","MD","KS","PA","KS","NC","CA","MA","DC","DC","KY","KS","CO","CA","CA","DC","GA","KS","NE","LA","TX","FL","KY","AL","NY","IN","GA","GA","NY","NC","CA","FL","AZ","DC","MN","MI","AZ","ME","FL","NY","SC","FL","GA","AZ","AK","TX","KS","OK","CA","NV","NY","AZ","NC","MO","GA","DC","CA","WA","DC","VA","FL","IN","PA","CO","TX","NY","MA","NC","NY","ID","VA","GA","WA","MA","CO","MN","TX","OH","FL","OK","VA","CA","VA","WA","MA","DC","NJ","DC","DC","CA","CA","CA","NY","PA","MA","CA","MA","VA","CA","CA","KS","CA","FL","NJ","GA","NY","CA","NC","NY","KS","WA","DC","GA","GA","CA","AZ","MN","WI","VA","NC","CO","WI","IL","CT","CA","MT","PA","AL","MN","DC","NC","NY","IN","WA","IN","DE","IL","NH","PA","TX","FL","WV","MD","NY","IN","MA","OK","MA","WI","CA","MD","MD","KS","PA","FL","OH","FL","NV",NA,"WI","MS","KS","OH","CA","NJ","CO","KS","FL","DC","FL","UT","NC","NM",NA,"MA","MI","GA","FL","GA","IL","WA","NM","DC","WI","CA","KS","ME"
